Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
1785.61,0.00936,0.009378,0.00696,0.004429,0.005783,0.006777,0.005932,0.002647,0.003543,0.006582,0.001837,0.007116,0.01125,0.007791,0.005604,0.00686,0.01102,0.007162,0.00366,0.00453,0.003184,0.002474,0.004128,0.00317,0.001922,0.009183,0.008367,0.003611,0.006555,0.007622,0.005025,0.008914,0.002973,0.005918,0.003261,0.004217,0.004133,0.005678,0.005377,0.004997,0.002352,0.006712,0.002176,0.004041,0.001975,0.006461,0.003579,0.004349,0.001677,0.001108,0.001859,0.003042,0.003122,0.003117,0.002441,0.004358,0.002908,0.006089,0.005192,0.003357,0.00405,0.003633,0.002278,0.002917,0.002555,0.002605,0.002295,0.00378,0.003494,0.005207,0.00778,0.006173,0.001765,0.002822,0.002803,0.002848,0.003059,0.001592,0.002414,0.003678,0.003168,0.001609,0.002949,0.002015,0.002968,0.001774,0.003042,0.002683,0.003708,0.002948,0.003716,0.003067,0.002474,0.002681,0.002863,0.00202,0.001451,0.00196,0.003204,0.002896,0.006227,0.003782,0.006928,0.004129,0.004197,0.003873,0.002455,0.002297
1784.15,0.009706,0.009698,0.007348,0.004751,0.006124,0.006779,0.006022,0.003215,0.003919,0.008028,0.001974,0.007717,0.01175,0.008605,0.006199,0.006746,0.01193,0.007798,0.003969,0.004929,0.003262,0.002312,0.004147,0.003363,0.00213,0.009466,0.009033,0.004238,0.006728,0.007851,0.005708,0.009971,0.003306,0.006266,0.00378,0.004427,0.00413,0.006254,0.005755,0.004588,0.002812,0.006845,0.002378,0.003789,0.002252,0.006742,0.00394,0.004581,0.001682,0.001321,0.00219,0.003273,0.003306,0.003269,0.002538,0.004982,0.002913,0.006049,0.005042,0.003524,0.004517,0.003492,0.002596,0.002774,0.002753,0.002543,0.002058,0.004001,0.003421,0.005826,0.008211,0.006975,0.002082,0.003126,0.003183,0.002779,0.00317,0.001788,0.002178,0.003774,0.002901,0.001205,0.002805,0.002114,0.003199,0.001648,0.002792,0.002596,0.003925,0.002856,0.004111,0.003259,0.002173,0.002894,0.003015,0.002123,0.001675,0.002193,0.003342,0.003495,0.006724,0.004424,0.006867,0.00401,0.00451,0.004079,0.002912,0.002198
1782.68,0.009795,0.01031,0.008033,0.004594,0.006236,0.006606,0.00625,0.003499,0.004224,0.009277,0.002048,0.008453,0.01227,0.009043,0.006837,0.006475,0.01267,0.008098,0.004761,0.005503,0.003159,0.002344,0.004094,0.00337,0.00276,0.009519,0.009287,0.004606,0.007121,0.007837,0.00645,0.01079,0.004174,0.006816,0.003767,0.004517,0.004042,0.006455,0.006257,0.004694,0.002998,0.006861,0.002606,0.003683,0.002392,0.00714,0.004201,0.004618,0.002255,0.001675,0.002838,0.003621,0.003434,0.003322,0.002685,0.005281,0.0027,0.005871,0.00481,0.00388,0.005062,0.003401,0.002686,0.002719,0.002636,0.002537,0.002068,0.004236,0.003353,0.006476,0.008152,0.007372,0.00204,0.003263,0.003821,0.002818,0.002942,0.002152,0.002392,0.004187,0.002712,0.001234,0.003074,0.002313,0.003883,0.001539,0.002929,0.002539,0.004252,0.002827,0.004591,0.004079,0.002177,0.003035,0.003078,0.001921,0.002175,0.002202,0.003257,0.004086,0.007355,0.004449,0.006858,0.004024,0.004845,0.004339,0.002962,0.002514
1781.22,0.01034,0.01138,0.009235,0.005041,0.006324,0.006559,0.00615,0.003787,0.004522,0.01011,0.002433,0.008809,0.01289,0.01021,0.007455,0.006963,0.01327,0.008354,0.005289,0.005509,0.003501,0.002528,0.004046,0.003537,0.003185,0.00999,0.00964,0.004764,0.007299,0.007555,0.007144,0.01103,0.005357,0.007145,0.003876,0.004664,0.003784,0.006968,0.006375,0.004315,0.003198,0.007318,0.002855,0.003969,0.002598,0.007891,0.004278,0.005243,0.002781,0.002095,0.003414,0.004051,0.003463,0.003426,0.002795,0.005444,0.002307,0.006209,0.004735,0.004742,0.005598,0.003425,0.002757,0.002602,0.002716,0.002582,0.002231,0.004491,0.003624,0.006716,0.007992,0.007516,0.00207,0.00369,0.004212,0.00276,0.002821,0.002553,0.002856,0.00453,0.002663,0.001315,0.003259,0.00276,0.004405,0.001821,0.003137,0.002387,0.004309,0.002821,0.004639,0.003987,0.002229,0.00331,0.003023,0.002115,0.002234,0.002524,0.003133,0.004403,0.008532,0.004552,0.007168,0.004039,0.005497,0.004806,0.002918,0.002804
1779.75,0.01096,0.01191,0.009785,0.005837,0.006531,0.006606,0.005934,0.003995,0.00517,0.00963,0.002523,0.008582,0.01281,0.01089,0.008506,0.008055,0.01463,0.00873,0.005864,0.005304,0.004053,0.002403,0.004355,0.003557,0.003185,0.01005,0.009872,0.004818,0.007498,0.007664,0.00764,0.01134,0.006527,0.00706,0.00433,0.004956,0.003534,0.007468,0.006589,0.004525,0.003643,0.007797,0.002869,0.004498,0.002795,0.008344,0.004183,0.00562,0.003117,0.002534,0.003816,0.004436,0.003251,0.003619,0.002856,0.005441,0.001915,0.007077,0.004768,0.005634,0.006384,0.003233,0.002936,0.002653,0.002695,0.002528,0.002572,0.004688,0.003917,0.006395,0.008374,0.007574,0.002341,0.004304,0.004237,0.002666,0.003027,0.002696,0.002803,0.004435,0.002744,0.001538,0.003243,0.003187,0.004683,0.002001,0.003381,0.002451,0.004372,0.002844,0.004497,0.003892,0.00254,0.003502,0.003059,0.002454,0.002611,0.002934,0.002907,0.004699,0.009472,0.004675,0.007127,0.004146,0.006454,0.004958,0.002845,0.003108
1778.29,0.01172,0.01207,0.01071,0.005981,0.006929,0.006779,0.006067,0.004175,0.005577,0.009276,0.002622,0.008281,0.01298,0.01139,0.009818,0.008542,0.01673,0.008854,0.006133,0.004963,0.00431,0.002496,0.004212,0.003729,0.002901,0.01026,0.01006,0.00509,0.007671,0.008394,0.008014,0.01207,0.007552,0.007247,0.004819,0.005272,0.003525,0.007727,0.006966,0.005214,0.004555,0.008391,0.003212,0.004911,0.002936,0.008887,0.004287,0.006053,0.003226,0.002838,0.004512,0.004808,0.003522,0.003906,0.003245,0.005573,0.002102,0.007771,0.004841,0.006415,0.006561,0.003379,0.003059,0.002627,0.002787,0.002407,0.002828,0.004933,0.00426,0.006588,0.008397,0.007383,0.002504,0.004793,0.004275,0.002616,0.003211,0.002536,0.002634,0.004381,0.002688,0.001978,0.003194,0.002849,0.004615,0.001972,0.003892,0.002458,0.004161,0.002543,0.004517,0.003954,0.002918,0.00347,0.002947,0.002552,0.002994,0.003331,0.002807,0.004885,0.009901,0.004911,0.007143,0.004508,0.006863,0.004934,0.002928,0.00346
1776.83,0.01244,0.012,0.01221,0.006044,0.00736,0.007878,0.006861,0.004197,0.006068,0.008867,0.002496,0.008189,0.01383,0.01238,0.0105,0.009054,0.01852,0.009391,0.00633,0.005241,0.005017,0.002718,0.004101,0.004198,0.002963,0.011,0.01048,0.005231,0.007708,0.008725,0.008653,0.0125,0.00827,0.007432,0.005321,0.005394,0.003351,0.008133,0.006974,0.005757,0.005087,0.008847,0.003556,0.005303,0.002988,0.009515,0.004486,0.006539,0.003321,0.003067,0.004894,0.004756,0.004172,0.004352,0.00358,0.005689,0.00261,0.008143,0.004793,0.006794,0.006789,0.003787,0.003362,0.002532,0.002841,0.002436,0.003188,0.005201,0.004597,0.006919,0.008634,0.007344,0.002311,0.005079,0.004191,0.002872,0.003047,0.002249,0.002568,0.004469,0.00272,0.002595,0.003071,0.002448,0.004792,0.001872,0.004209,0.00234,0.004388,0.002396,0.004722,0.004204,0.003374,0.003546,0.002697,0.002818,0.003027,0.003546,0.003085,0.005024,0.01047,0.005477,0.007636,0.00478,0.007584,0.004681,0.003105,0.003817
1775.36,0.01306,0.01233,0.01328,0.006236,0.008031,0.008716,0.007949,0.003883,0.006548,0.008497,0.00251,0.008076,0.01447,0.01394,0.0113,0.009411,0.01948,0.01,0.006274,0.005209,0.0053,0.002835,0.004174,0.004717,0.002932,0.01187,0.01116,0.005453,0.007825,0.008559,0.00915,0.01264,0.008778,0.00753,0.005454,0.005405,0.00339,0.00853,0.007029,0.006191,0.005536,0.009244,0.003691,0.005649,0.003164,0.009697,0.004421,0.007158,0.003396,0.003352,0.004921,0.004601,0.00458,0.004542,0.003538,0.005597,0.003016,0.008185,0.004877,0.007265,0.006899,0.004093,0.003577,0.002562,0.002833,0.002243,0.003573,0.005359,0.004556,0.007247,0.008712,0.007529,0.002133,0.005203,0.004294,0.003281,0.002937,0.002133,0.002812,0.00429,0.002611,0.003121,0.00325,0.002407,0.004716,0.002376,0.004308,0.002381,0.00459,0.002585,0.004602,0.004557,0.00395,0.0036,0.002636,0.003447,0.00269,0.003764,0.003149,0.004835,0.01074,0.005884,0.008614,0.005101,0.008164,0.004417,0.003221,0.003808
1773.9,0.01419,0.01316,0.01353,0.006595,0.008496,0.009732,0.009122,0.003458,0.006414,0.008627,0.002839,0.007755,0.01432,0.01504,0.01164,0.00936,0.02009,0.01009,0.005847,0.005228,0.005353,0.003213,0.004125,0.004881,0.002795,0.01245,0.01194,0.005872,0.008279,0.008648,0.009409,0.013,0.009097,0.008148,0.004953,0.005462,0.003749,0.008634,0.007235,0.006693,0.005842,0.009253,0.003804,0.005707,0.003034,0.009585,0.004314,0.008059,0.003578,0.003368,0.004663,0.004509,0.004594,0.004725,0.003393,0.005522,0.003489,0.00862,0.005325,0.007466,0.006617,0.004339,0.00322,0.002618,0.002934,0.002432,0.003734,0.005258,0.00465,0.007642,0.008772,0.008309,0.002038,0.005324,0.004416,0.003964,0.003004,0.00229,0.002966,0.004165,0.002814,0.003415,0.0036,0.002329,0.004471,0.002777,0.004262,0.002497,0.004522,0.002509,0.004258,0.004853,0.003972,0.003437,0.002642,0.003844,0.002499,0.003932,0.003359,0.004466,0.01086,0.006474,0.009412,0.0054,0.008249,0.004248,0.003308,0.003801
1772.44,0.01531,0.01448,0.01408,0.006823,0.008432,0.01056,0.01033,0.003427,0.006104,0.008917,0.003079,0.007793,0.01421,0.01516,0.01202,0.009327,0.0212,0.01078,0.005532,0.00543,0.005617,0.003532,0.004258,0.004798,0.002763,0.01308,0.01282,0.006203,0.008428,0.009542,0.009965,0.01334,0.009406,0.008587,0.004891,0.005295,0.004144,0.008434,0.007567,0.007273,0.006265,0.009176,0.003926,0.005254,0.003303,0.009863,0.004484,0.008412,0.004046,0.003674,0.004602,0.004324,0.004734,0.005129,0.003208,0.005576,0.004079,0.009196,0.005919,0.007224,0.006667,0.004593,0.00314,0.002593,0.003013,0.002646,0.003728,0.005171,0.004932,0.008417,0.008955,0.008829,0.0021,0.005141,0.0047,0.004475,0.003177,0.002242,0.003333,0.00436,0.00314,0.003674,0.003869,0.002539,0.004328,0.003027,0.00428,0.002784,0.004422,0.002336,0.004142,0.005057,0.004054,0.003497,0.002928,0.003787,0.002629,0.00383,0.003654,0.004263,0.01103,0.007098,0.009517,0.005934,0.008144,0.004156,0.003699,0.003511
1770.97,0.01604,0.01549,0.01462,0.007024,0.008457,0.01113,0.01104,0.003458,0.006226,0.009534,0.003184,0.007989,0.01493,0.01545,0.01244,0.009622,0.02207,0.01132,0.005606,0.006149,0.005799,0.003597,0.004485,0.004852,0.002955,0.01412,0.01385,0.006782,0.008912,0.01068,0.01037,0.0136,0.009417,0.009043,0.005473,0.00499,0.004524,0.008757,0.008095,0.00778,0.006126,0.008999,0.00393,0.005044,0.003745,0.01024,0.004779,0.00831,0.004697,0.003807,0.004963,0.004311,0.004809,0.005308,0.002973,0.005506,0.004581,0.009735,0.006198,0.007212,0.006573,0.004763,0.003236,0.002627,0.003357,0.003042,0.003883,0.00506,0.005187,0.009289,0.00944,0.009396,0.002141,0.00501,0.004788,0.004912,0.003478,0.002074,0.00361,0.004566,0.003495,0.003582,0.003941,0.002402,0.004109,0.003266,0.004288,0.00314,0.004041,0.002346,0.004756,0.005143,0.004079,0.003576,0.003533,0.003771,0.002705,0.003896,0.004079,0.003872,0.01089,0.007434,0.01019,0.006291,0.008254,0.004187,0.004224,0.00338
1769.51,0.01658,0.01603,0.01538,0.007025,0.008624,0.01149,0.01112,0.003508,0.006208,0.01032,0.003013,0.008316,0.01584,0.01563,0.01223,0.009328,0.02176,0.01156,0.005746,0.006636,0.005671,0.003425,0.004927,0.004833,0.003103,0.0149,0.01439,0.007425,0.009707,0.01097,0.01078,0.01395,0.008952,0.009421,0.005905,0.004893,0.004972,0.008804,0.008621,0.007967,0.005634,0.008643,0.003758,0.004833,0.00393,0.009935,0.005328,0.008232,0.00538,0.003761,0.005602,0.004599,0.00496,0.005335,0.003144,0.00578,0.004779,0.009733,0.0067,0.007385,0.006477,0.005061,0.003504,0.002716,0.003663,0.003245,0.003737,0.004937,0.005209,0.009379,0.009658,0.009781,0.002463,0.004922,0.005579,0.005037,0.003344,0.001931,0.003968,0.004862,0.003556,0.003836,0.003871,0.002319,0.004221,0.003529,0.004196,0.003203,0.003818,0.002601,0.00552,0.005245,0.003885,0.003418,0.003922,0.003743,0.002688,0.004159,0.004433,0.003811,0.01104,0.007604,0.01073,0.006304,0.008588,0.004354,0.00445,0.003626
1768.05,0.01641,0.016,0.01526,0.006728,0.008271,0.01173,0.01104,0.003671,0.005986,0.01095,0.002829,0.00855,0.01612,0.01478,0.01176,0.008861,0.02145,0.01178,0.006318,0.006865,0.005528,0.00312,0.005246,0.004873,0.003325,0.0156,0.01417,0.00767,0.009973,0.01088,0.01119,0.01354,0.008903,0.009302,0.005557,0.004808,0.005347,0.008718,0.00921,0.008008,0.005228,0.008451,0.003911,0.004893,0.004127,0.009651,0.005882,0.007878,0.005874,0.003871,0.006014,0.004728,0.005129,0.005464,0.003325,0.005848,0.004793,0.00962,0.007367,0.007303,0.00627,0.00532,0.003596,0.002882,0.003448,0.003482,0.003812,0.004912,0.004809,0.009641,0.009255,0.009669,0.002761,0.004897,0.006332,0.005011,0.003404,0.001871,0.00458,0.005013,0.003524,0.003827,0.004117,0.002994,0.004602,0.003521,0.004262,0.003345,0.003689,0.002994,0.005903,0.005227,0.003951,0.0035,0.004495,0.003618,0.002604,0.004372,0.004706,0.003801,0.01074,0.007361,0.01046,0.006541,0.008366,0.004398,0.004504,0.004019
1766.58,0.01696,0.01639,0.01504,0.007154,0.008319,0.01199,0.011,0.003871,0.005711,0.01118,0.002775,0.009029,0.01642,0.0146,0.0115,0.009287,0.02149,0.01207,0.006729,0.00712,0.006055,0.003128,0.005665,0.004842,0.003363,0.01611,0.01434,0.008045,0.01047,0.01078,0.01147,0.01367,0.009283,0.009055,0.005453,0.004785,0.005409,0.008935,0.01024,0.008063,0.005196,0.008754,0.004169,0.005198,0.004507,0.009629,0.005905,0.007847,0.00587,0.003741,0.005676,0.005051,0.005481,0.005516,0.003486,0.006198,0.004593,0.01011,0.007573,0.007538,0.006153,0.005662,0.003854,0.002846,0.003541,0.003628,0.003996,0.005163,0.004652,0.01008,0.01005,0.009931,0.003182,0.00521,0.007024,0.004943,0.00391,0.001829,0.005036,0.005202,0.003486,0.003779,0.004453,0.003578,0.004815,0.003461,0.004176,0.003514,0.003783,0.00331,0.005893,0.005249,0.004317,0.003776,0.004952,0.003656,0.002443,0.004653,0.004747,0.003764,0.01097,0.007341,0.01058,0.006833,0.00839,0.005198,0.004457,0.004309
1765.12,0.01729,0.01649,0.01572,0.007725,0.008769,0.01248,0.01139,0.004002,0.005914,0.01128,0.00285,0.0097,0.01676,0.01499,0.0115,0.01001,0.02193,0.01284,0.007356,0.007607,0.006577,0.002967,0.005897,0.004673,0.003222,0.01653,0.01435,0.008497,0.01127,0.0113,0.01219,0.01447,0.009667,0.009073,0.005843,0.00495,0.005365,0.009259,0.01075,0.008453,0.00554,0.009306,0.004687,0.005649,0.004896,0.009704,0.005889,0.008048,0.005727,0.003755,0.005745,0.005543,0.005113,0.005769,0.003743,0.007116,0.00437,0.01074,0.007921,0.007921,0.006476,0.005868,0.004277,0.003072,0.003552,0.003719,0.004274,0.005428,0.004751,0.009947,0.01116,0.01011,0.003814,0.005157,0.00736,0.004724,0.004257,0.001944,0.005149,0.005538,0.003662,0.003988,0.004346,0.003796,0.004972,0.003268,0.004272,0.003194,0.00391,0.003469,0.005982,0.005082,0.004692,0.003948,0.005147,0.003881,0.002711,0.004485,0.004746,0.003984,0.01134,0.00748,0.01044,0.007465,0.008557,0.005899,0.00447,0.004431
